               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.018362,           0.0064141,           0.0046392,             0.98925,             0.99284,               0.995,             0.86676,             0.01076,           0.0029558,           0.0014873,           0.0047035,           0.0047035,           0.0047035
                 109,            0.018461,           0.0064032,           0.0049602,             0.98594,             0.98554,               0.995,              0.8632,             0.01067,           0.0029574,           0.0016957,            0.004654,            0.004654,            0.004654
                 110,             0.01847,           0.0057295,           0.0048565,             0.98917,             0.99054,             0.99452,             0.84713,            0.012006,           0.0029673,           0.0015307,           0.0046045,           0.0046045,           0.0046045
                 111,            0.018115,           0.0062039,           0.0046199,             0.98894,             0.99616,               0.995,             0.86017,            0.010424,           0.0029118,            0.001409,            0.004555,            0.004555,            0.004555
                 112,            0.018176,           0.0062845,             0.00529,             0.98872,             0.99395,             0.99478,              0.8451,            0.010897,           0.0029349,            0.001358,           0.0045055,           0.0045055,           0.0045055
                 113,            0.017718,           0.0063209,           0.0040098,             0.98437,             0.99412,             0.99456,             0.86286,            0.010409,           0.0028457,           0.0014483,            0.004456,            0.004456,            0.004456
                 114,            0.018068,           0.0063028,           0.0057717,             0.99024,             0.99632,               0.995,              0.8696,            0.010876,           0.0029083,           0.0011792,           0.0044065,           0.0044065,           0.0044065
                 115,            0.018301,           0.0060374,           0.0046712,             0.98874,             0.99355,               0.995,             0.85404,            0.010607,           0.0029456,           0.0012938,            0.004357,            0.004357,            0.004357
                 116,            0.018067,           0.0061423,           0.0038641,             0.98724,              0.9921,               0.995,             0.87023,            0.010013,           0.0028557,           0.0013257,           0.0043075,           0.0043075,           0.0043075
                 117,            0.017899,           0.0063311,           0.0045023,             0.99293,             0.99776,               0.995,             0.85102,            0.011253,           0.0030504,           0.0012042,            0.004258,            0.004258,            0.004258
